subject	condition	generation	index	age	sex	group	rabbit	machine	scores	pre	post	chosen	chosenInput	useMachine	output	score	gameTime	surveyTime
115	2	2	1	41	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1	0,3,3,5,3,0;0,8,1,10,1,5;0,11,4,13,-1,5;5,9,7,13,2,10;10,12,10,13,0,10;15,10,13,13,-2,10;20,8,11,18,-4,15;25,11,14,23,-6,15;30,9,12,26,-8,20;30,7,10,26,-5,25;33,10,13,26,-7,30;38,8,11,31,-9,35;43,11,9,36,-11,40;48,9,7,36,-13,45;48,12,10,36,-10,45;53,12,13,36,-7,50;58,15,16,36,-4,50;63,18,19,41,-6,50;68,21,22,46,-3,55;68,24,25,49,0,60	4,3,3,4,1,3,5,4	2,4,5,4,4,2,3,4	2,5,0;0,4,2;3,0,4;3,0,5;5,1,4;5,0,3;1,3,0;1,3,2;1,3,0;3,1,4;2,5,1;3,0,5;5,1,3;4,0,5;3,1,5;4,0,5;4,2,5;3,0,5;2,5,1;4,0,5	0,1,1;1,1,1;1,0,0;0,1,1;0,1,0;0,1,0;0,1,1;1,1,1;0,1,1;0,0,1;1,1,1;1,1,1;1,1,1;0,1,1;1,0,1;0,0,0;0,0,1;0,0,1;0,0,0;0,1,0	1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0	0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0	3,6,9,12,15,18,18,18,21,19,22,20,23,28,28,33,38,43,48,53	12,13,18,17,26,9,11,20,10,11,18,8,10,22,14,10,16,8,14,7	17,21
116	2	2	2	40	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0	0,3,3,5,3,0;0,8,1,10,1,5;0,11,4,13,-1,5;5,9,7,13,2,10;10,12,10,13,0,10;15,10,13,13,-2,10;20,8,11,18,-4,15;25,11,14,23,-6,15;30,9,12,26,-8,20;30,7,10,26,-5,25;33,10,13,26,-7,30;38,8,11,31,-9,35;43,11,9,36,-11,40;48,9,7,36,-13,45;48,12,10,36,-10,45;53,12,13,36,-7,50;58,15,16,36,-4,50;63,18,19,41,-6,50;68,21,22,46,-3,55;68,24,25,49,0,60	4,3,3,4,4,5,4,3	3,3,2,3,4,3,3,2	1,2,0;1,3,0;1,5,4;2,1,0;0,3,1;1,5,0;4,0,5;0,3,2;0,4,1;0,5,2;2,5,1;1,5,0;2,5,0;2,3,1;1,3,0;3,1,2;4,0,5;0,5,2;2,5,1;0,3,2	0,0,1;0,0,1;1,0,0;1,0,1;1,0,1;0,0,1;0,1,1;1,1,1;1,0,0;0,1,0;1,1,1;0,1,1;0,1,1;0,0,0;0,1,1;1,1,0;0,0,1;0,1,0;0,0,0;1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0	3,6,9,12,10,8,6,9,7,10,13,16,19,17,20,23,21,19,22,25	31,23,19,22,18,10,16,13,18,29,20,19,21,28,17,19,10,9,10,9	65,15
117	2	2	3	30	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0	0,3,3,5,3,0;0,8,1,10,1,5;0,11,4,13,-1,5;5,9,7,13,2,10;10,12,10,13,0,10;15,10,13,13,-2,10;20,8,11,18,-4,15;25,11,14,23,-6,15;30,9,12,26,-8,20;30,7,10,26,-5,25;33,10,13,26,-7,30;38,8,11,31,-9,35;43,11,9,36,-11,40;48,9,7,36,-13,45;48,12,10,36,-10,45;53,12,13,36,-7,50;58,15,16,36,-4,50;63,18,19,41,-6,50;68,21,22,46,-3,55;68,24,25,49,0,60	5,5,5,5,5,5,5,5	5,5,5,5,5,5,5,5	2,4,5;1,3,5;3,5,4;3,4,5;5,4,3;4,3,5;5,4,3;2,4,3;5,4,3;3,5,4;4,5,3;4,3,5;3,5,4;4,5,3;4,5,3;3,5,4;4,5,3;5,3,4;5,3,4;5,3,4	0,0,1;0,0,0;1,0,0;0,1,1;0,0,0;0,0,0;1,0,1;1,0,1;1,0,1;0,1,1;0,1,0;0,1,1;1,1,0;0,1,0;0,1,1;1,0,0;0,1,1;1,0,1;0,0,0;0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1	5,5,10,15,15,20,25,25,25,25,25,25,30,30,35,35,35,35,35,35	26,14,9,6,12,6,4,6,4,7,5,4,6,4,7,5,5,5,4,7	21,11
118	2	2	4	23	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0	0,3,3,5,3,0;0,8,1,10,1,5;0,11,4,13,-1,5;5,9,7,13,2,10;10,12,10,13,0,10;15,10,13,13,-2,10;20,8,11,18,-4,15;25,11,14,23,-6,15;30,9,12,26,-8,20;30,7,10,26,-5,25;33,10,13,26,-7,30;38,8,11,31,-9,35;43,11,9,36,-11,40;48,9,7,36,-13,45;48,12,10,36,-10,45;53,12,13,36,-7,50;58,15,16,36,-4,50;63,18,19,41,-6,50;68,21,22,46,-3,55;68,24,25,49,0,60	4,5,4,5,4,5,4,5	5,4,5,4,5,4,5,4	3,1,2;2,0,4;1,3,5;2,5,0;2,4,5;0,1,5;2,1,4;0,4,1;1,4,3;1,0,3;1,0,3;2,1,5;0,2,4;2,0,3;0,5,1;2,4,1;1,0,2;1,2,4;2,0,3;2,5,0	0,0,0;1,1,1;1,1,0;1,1,1;1,0,0;1,0,0;0,0,0;1,0,1;0,0,1;0,0,0;1,1,0;0,0,1;1,0,0;0,1,0;1,1,0;0,0,1;0,0,0;0,0,1;0,0,0;0,0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0	3,1,4,7,10,13,16,19,22,20,18,16,14,12,15,18,21,24,27,30	10,7,44,8,7,6,9,7,6,6,5,6,7,6,8,8,6,6,6,7	14,11
119	2	2	5	25	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0	0,3,3,5,3,0;0,8,1,10,1,5;0,11,4,13,-1,5;5,9,7,13,2,10;10,12,10,13,0,10;15,10,13,13,-2,10;20,8,11,18,-4,15;25,11,14,23,-6,15;30,9,12,26,-8,20;30,7,10,26,-5,25;33,10,13,26,-7,30;38,8,11,31,-9,35;43,11,9,36,-11,40;48,9,7,36,-13,45;48,12,10,36,-10,45;53,12,13,36,-7,50;58,15,16,36,-4,50;63,18,19,41,-6,50;68,21,22,46,-3,55;68,24,25,49,0,60	5,5,4,4,3,3,3,2	3,2,2,3,4,4,3,3	3,2,4;4,1,2;4,5,3;2,1,0;4,0,3;2,0,1;4,2,3;3,4,5;1,2,0;5,0,4;2,4,5;1,4,3;5,0,2;4,3,5;2,3,1;5,4,1;3,1,0;5,1,4;5,4,3;2,1,0	0,0,0;1,0,1;0,0,1;1,0,1;0,1,0;1,1,0;0,0,1;1,0,0;0,0,1;1,0,1;1,0,1;0,0,1;1,1,0;0,0,1;0,1,0;0,0,1;1,0,0;1,0,1;0,0,0;0,0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1	3,1,-1,2,5,3,6,4,2,5,8,6,4,7,10,13,11,9,7,5	17,13,5,5,11,4,5,5,4,7,5,5,7,5,6,4,3,4,4,7	12,9
120	2	3	0	34	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1	3,3,3,5,3,3;6,6,6,5,1,1;9,9,9,10,4,-1;12,12,12,15,7,2;15,15,10,15,10,5;13,18,8,20,13,3;11,18,6,25,16,6;9,18,9,25,19,4;12,21,7,25,22,2;10,19,10,25,20,5;13,22,13,25,18,8;16,20,16,25,16,6;14,23,19,30,14,4;12,28,17,30,12,7;15,28,20,35,15,10;18,33,23,35,18,13;21,38,21,35,21,11;24,43,19,35,24,9;27,48,22,35,27,7;30,53,25,35,30,5	4,4,5,4,3,4,3,5	5,4,4,5,4,3,4,3	3,5,4;4,0,3;1,2,0;1,3,4;3,5,4;4,2,0;3,4,5;1,0,2;0,2,1;3,5,4;2,1,0;3,4,5;4,3,5;2,5,3;3,0,5;0,2,1;5,0,3;4,2,3;0,5,2;1,2,0	0,0,0;1,0,1;1,1,1;1,1,1;0,1,1;1,0,0;1,1,1;0,0,1;1,0,1;0,1,0;1,1,1;0,0,0;0,1,0;0,1,0;0,0,0;0,0,0;1,0,1;0,1,1;0,1,0;0,0,0	1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0	3,1,-1,2,0,3,6,4,9,9,14,14,14,14,19,24,29,29,34,39	19,16,12,12,14,9,12,9,9,9,9,7,7,8,10,8,8,7,10,11	17,17
121	2	3	1	34	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0	3,3,3,5,3,3;6,6,6,5,1,1;9,9,9,10,4,-1;12,12,12,15,7,2;15,15,10,15,10,5;13,18,8,20,13,3;11,18,6,25,16,6;9,18,9,25,19,4;12,21,7,25,22,2;10,19,10,25,20,5;13,22,13,25,18,8;16,20,16,25,16,6;14,23,19,30,14,4;12,28,17,30,12,7;15,28,20,35,15,10;18,33,23,35,18,13;21,38,21,35,21,11;24,43,19,35,24,9;27,48,22,35,27,7;30,53,25,35,30,5	4,3,4,5,4,4,4,3	5,3,3,5,5,4,4,4	2,3,0;2,4,0;1,3,0;2,4,0;1,4,0;1,5,0;0,3,2;0,3,2;2,5,3;2,5,3;3,5,0;1,5,2;2,5,1;4,0,1;4,5,3;1,5,0;1,4,2;4,3,5;0,2,4;3,5,1	0,0,0;0,1,0;1,1,1;1,1,1;1,1,1;1,0,0;0,1,0;0,0,1;0,0,0;1,1,0;0,1,1;0,0,1;1,0,1;0,0,1;0,0,0;0,0,0;0,0,1;0,1,1;0,0,0;1,1,0	0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1	0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1	5,3,6,4,7,5,3,6,4,9,12,15,18,23,21,24,27,30,33,31	15,14,21,14,16,18,17,17,15,11,11,29,10,10,12,31,36,8,16,20	26,29
122	2	3	2	30	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1	3,3,3,5,3,3;6,6,6,5,1,1;9,9,9,10,4,-1;12,12,12,15,7,2;15,15,10,15,10,5;13,18,8,20,13,3;11,18,6,25,16,6;9,18,9,25,19,4;12,21,7,25,22,2;10,19,10,25,20,5;13,22,13,25,18,8;16,20,16,25,16,6;14,23,19,30,14,4;12,28,17,30,12,7;15,28,20,35,15,10;18,33,23,35,18,13;21,38,21,35,21,11;24,43,19,35,24,9;27,48,22,35,27,7;30,53,25,35,30,5	5,5,4,5,1,2,1,2	4,4,3,4,4,4,3,3	0,5,1;1,2,0;0,2,1;0,1,2;2,1,0;0,2,1;1,0,2;2,0,1;2,1,0;2,0,1;3,5,4;4,5,3;5,4,3;4,5,3;4,3,5;0,1,2;4,3,0;0,2,5;0,5,3;2,0,3	0,0,0;0,0,0;1,1,1;1,1,1;0,1,1;0,0,1;0,0,0;1,0,0;0,1,1;1,0,0;0,1,0;0,0,0;0,0,1;0,1,0;0,0,0;0,0,0;0,1,0;0,1,1;0,1,1;0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0	5,10,15,20,25,25,25,25,30,30,30,30,30,30,35,40,45,45,45,50	78,31,15,12,32,11,9,8,8,23,9,7,6,6,15,10,12,8,8,22	61,30
123	2	3	3	44	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1	3,3,3,5,3,3;6,6,6,5,1,1;9,9,9,10,4,-1;12,12,12,15,7,2;15,15,10,15,10,5;13,18,8,20,13,3;11,18,6,25,16,6;9,18,9,25,19,4;12,21,7,25,22,2;10,19,10,25,20,5;13,22,13,25,18,8;16,20,16,25,16,6;14,23,19,30,14,4;12,28,17,30,12,7;15,28,20,35,15,10;18,33,23,35,18,13;21,38,21,35,21,11;24,43,19,35,24,9;27,48,22,35,27,7;30,53,25,35,30,5	5,5,5,5,5,5,4,4	4,5,4,4,4,5,4,5	3,1,2;4,3,1;1,5,0;1,3,5;5,2,4;5,4,3;1,0,2;5,4,3;1,3,4;2,4,0;5,4,1;2,1,5;4,1,5;0,1,2;1,4,5;1,4,5;0,2,1;5,4,3;0,3,4;5,2,1	0,0,0;1,1,0;1,0,1;1,1,1;1,0,1;0,1,1;0,0,0;0,1,0;1,0,1;1,0,0;1,0,1;1,0,0;0,1,0;0,1,0;1,0,0;0,0,0;0,1,0;1,0,1;0,1,0;1,0,0	1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1	0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1	3,1,4,2,5,8,11,11,16,19,22,20,23,21,24,27,30,28,31,29	26,11,11,18,11,13,11,14,11,16,13,13,17,12,12,12,8,9,10,11	60,13
124	2	3	4	34	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0	3,3,3,5,3,3;6,6,6,5,1,1;9,9,9,10,4,-1;12,12,12,15,7,2;15,15,10,15,10,5;13,18,8,20,13,3;11,18,6,25,16,6;9,18,9,25,19,4;12,21,7,25,22,2;10,19,10,25,20,5;13,22,13,25,18,8;16,20,16,25,16,6;14,23,19,30,14,4;12,28,17,30,12,7;15,28,20,35,15,10;18,33,23,35,18,13;21,38,21,35,21,11;24,43,19,35,24,9;27,48,22,35,27,7;30,53,25,35,30,5	4,4,3,4,3,3,3,3	4,4,4,4,4,4,4,4	4,1,2;0,1,2;2,1,0;0,2,1;2,1,0;0,2,1;2,1,0;0,1,2;0,1,2;1,0,2;2,1,0;1,2,0;2,1,0;0,2,1;0,1,2;1,2,0;0,1,2;0,1,2;0,2,1;0,2,1	0,0,0;0,0,0;1,1,1;1,1,1;0,1,1;0,0,1;0,0,0;0,0,1;1,1,0;0,0,1;1,1,1;0,1,1;1,1,0;0,0,1;0,1,0;0,0,0;0,0,1;0,0,1;0,0,0;0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0	5,8,13,18,23,23,23,23,28,28,33,38,43,43,48,53,58,63,68,73	29,24,12,11,17,8,10,7,6,12,7,7,6,7,9,9,7,6,7,8	16,9
125	2	3	5	28	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0	3,3,3,5,3,3;6,6,6,5,1,1;9,9,9,10,4,-1;12,12,12,15,7,2;15,15,10,15,10,5;13,18,8,20,13,3;11,18,6,25,16,6;9,18,9,25,19,4;12,21,7,25,22,2;10,19,10,25,20,5;13,22,13,25,18,8;16,20,16,25,16,6;14,23,19,30,14,4;12,28,17,30,12,7;15,28,20,35,15,10;18,33,23,35,18,13;21,38,21,35,21,11;24,43,19,35,24,9;27,48,22,35,27,7;30,53,25,35,30,5	3,4,4,4,4,4,3,4	3,3,4,3,3,3,4,4	4,1,5;3,0,4;4,1,0;2,3,0;3,4,5;5,2,1;0,2,1;0,2,1;3,5,4;4,3,5;1,0,5;0,5,3;5,1,3;4,2,5;4,1,2;0,2,3;1,5,4;5,3,4;1,2,0;0,1,2	0,0,0;1,0,1;1,1,1;1,1,1;0,1,1;0,0,1;0,0,0;0,1,0;0,0,1;0,0,1;1,1,1;1,0,0;0,1,1;0,0,1;0,1,0;0,0,1;0,1,0;1,1,0;0,0,0;0,0,0	0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0	5,8,13,16,14,12,10,13,11,14,17,20,18,16,19,22,20,23,21,24	31,17,21,14,19,14,17,14,11,13,10,10,8,11,10,10,10,14,12,15	13,18
126	2	4	0	24	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1	3,5,5,3,5,5;1,3,10,1,8,8;-1,6,15,4,13,13;2,4,20,2,18,16;0,7,25,5,23,14;3,5,25,8,23,12;6,3,25,11,23,10;4,6,25,11,23,13;9,4,30,16,28,11;9,9,30,19,28,14;14,12,30,22,33,17;14,15,30,20,38,20;14,18,30,23,43,18;14,23,30,21,43,16;19,21,35,24,48,19;24,24,40,27,53,22;29,27,45,30,58,20;29,30,45,28,63,23;34,33,45,31,68,21;39,31,50,29,73,24	5,5,5,5,3,3,3,3	5,5,5,5,5,5,5,5	3,4,5;2,4,1;2,5,4;0,4,1;2,3,0;2,3,5;1,5,0;4,0,3;4,1,0;2,1,0;1,4,2;1,4,0;2,5,0;0,5,2;2,1,0;0,1,4;2,1,3;1,2,0;1,3,5;3,4,5	0,0,0;0,0,1;1,1,1;1,1,0;1,1,0;0,1,0;0,0,1;0,0,0;1,0,1;0,1,0;1,1,0;1,1,0;0,0,0;0,0,0;0,1,0;0,0,0;0,0,0;0,1,1;0,0,1;1,0,0	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0	3,3,3,3,8,8,8,8,13,13,13,13,18,18,23,28,33,33,38,43	23,11,7,6,12,6,5,5,4,7,5,4,7,4,8,4,6,4,5,5	10,12
127	2	4	1	36	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1	3,5,5,3,5,5;1,3,10,1,8,8;-1,6,15,4,13,13;2,4,20,2,18,16;0,7,25,5,23,14;3,5,25,8,23,12;6,3,25,11,23,10;4,6,25,11,23,13;9,4,30,16,28,11;9,9,30,19,28,14;14,12,30,22,33,17;14,15,30,20,38,20;14,18,30,23,43,18;14,23,30,21,43,16;19,21,35,24,48,19;24,24,40,27,53,22;29,27,45,30,58,20;29,30,45,28,63,23;34,33,45,31,68,21;39,31,50,29,73,24	4,5,4,4,2,1,2,3	4,4,3,2,3,4,5,5	1,3,2;2,4,5;1,2,0;4,3,0;0,1,2;4,5,3;0,4,2;5,3,0;0,2,5;4,3,1;0,2,4;2,0,5;3,5,4;1,0,2;3,5,4;5,3,4;0,2,3;0,4,1;1,4,2;5,1,4	0,0,0;0,0,0;1,1,0;1,0,1;0,1,1;0,0,1;1,0,0;1,0,0;1,1,0;0,1,1;1,0,1;0,0,1;1,0,1;1,0,0;0,0,0;0,0,0;0,0,0;1,0,0;0,0,1;0,1,0	1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0	-2,1,-1,-1,2,5,8,6,4,2,0,-2,-4,-6,-3,0,-2,1,4,7	57,40,23,29,21,14,9,22,9,9,9,15,10,8,14,10,9,10,13,16	31,24
128	2	4	2	35	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1	3,5,5,3,5,5;1,3,10,1,8,8;-1,6,15,4,13,13;2,4,20,2,18,16;0,7,25,5,23,14;3,5,25,8,23,12;6,3,25,11,23,10;4,6,25,11,23,13;9,4,30,16,28,11;9,9,30,19,28,14;14,12,30,22,33,17;14,15,30,20,38,20;14,18,30,23,43,18;14,23,30,21,43,16;19,21,35,24,48,19;24,24,40,27,53,22;29,27,45,30,58,20;29,30,45,28,63,23;34,33,45,31,68,21;39,31,50,29,73,24	3,4,4,4,3,4,4,4	3,4,4,4,3,4,4,4	3,1,2;3,2,0;0,2,5;2,3,1;1,3,2;1,2,4;2,1,0;4,2,1;0,3,2;5,0,4;1,2,0;3,5,4;0,5,2;5,4,2;1,3,2;1,5,0;0,3,2;1,2,0;2,1,4;4,3,1	0,0,0;1,0,1;0,1,1;1,0,0;1,1,1;0,0,0;0,0,1;0,0,1;1,1,1;1,0,0;1,0,1;0,1,1;0,0,0;0,0,0;1,0,0;0,0,0;0,0,0;0,1,1;1,0,0;0,1,1	1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1	0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1	3,3,8,8,13,13,13,16,21,21,26,31,31,31,36,41,46,46,51,49	23,9,8,8,12,9,7,9,9,10,7,6,6,6,10,9,7,7,8,9	24,18
129	2	4	3	27	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1	3,5,5,3,5,5;1,3,10,1,8,8;-1,6,15,4,13,13;2,4,20,2,18,16;0,7,25,5,23,14;3,5,25,8,23,12;6,3,25,11,23,10;4,6,25,11,23,13;9,4,30,16,28,11;9,9,30,19,28,14;14,12,30,22,33,17;14,15,30,20,38,20;14,18,30,23,43,18;14,23,30,21,43,16;19,21,35,24,48,19;24,24,40,27,53,22;29,27,45,30,58,20;29,30,45,28,63,23;34,33,45,31,68,21;39,31,50,29,73,24	3,3,3,2,3,3,3,3	4,4,3,3,3,3,3,2	4,3,2;3,5,1;5,3,1;5,3,0;5,3,1;4,5,0;3,5,0;4,5,2;5,4,2;3,5,2;4,3,2;3,4,1;5,3,1;4,5,0;4,3,2;4,5,0;4,3,2;4,5,2;5,4,2;4,3,1	0,0,0;1,0,1;1,1,1;1,0,1;0,1,1;0,0,1;1,0,1;0,1,0;0,1,1;1,1,0;1,1,0;0,1,1;0,1,1;0,0,0;0,0,0;0,0,0;0,0,0;0,0,1;1,0,1;0,1,1	0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1	0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1	5,10,13,18,23,26,31,31,34,39,44,49,54,57,57,57,60,65,70,68	21,9,9,6,14,6,5,8,4,16,6,4,4,4,8,6,5,5,8,7	31,27
130	2	4	4	25	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0	3,5,5,3,5,5;1,3,10,1,8,8;-1,6,15,4,13,13;2,4,20,2,18,16;0,7,25,5,23,14;3,5,25,8,23,12;6,3,25,11,23,10;4,6,25,11,23,13;9,4,30,16,28,11;9,9,30,19,28,14;14,12,30,22,33,17;14,15,30,20,38,20;14,18,30,23,43,18;14,23,30,21,43,16;19,21,35,24,48,19;24,24,40,27,53,22;29,27,45,30,58,20;29,30,45,28,63,23;34,33,45,31,68,21;39,31,50,29,73,24	4,5,4,5,4,4,5,5	5,4,5,5,4,4,5,5	5,2,3;4,1,0;1,0,2;0,4,3;1,2,3;0,5,1;2,3,0;3,4,2;0,4,2;5,1,3;1,0,2;3,5,4;2,4,1;2,0,3;2,3,0;0,4,1;5,3,2;1,3,2;0,3,4;2,0,3	0,0,0;0,1,1;1,0,1;1,1,0;1,1,1;1,0,0;0,1,1;0,0,0;1,1,1;1,1,1;1,1,0;0,1,1;0,1,1;0,0,0;0,0,0;0,0,0;1,0,0;0,1,1;0,0,0;0,0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0	3,6,9,7,5,3,6,9,7,5,3,1,4,7,10,13,16,19,22,25	17,19,11,11,22,35,12,15,14,112,15,13,15,15,12,11,14,20,10,15	20,16
131	2	4	5	42	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0	3,5,5,3,5,5;1,3,10,1,8,8;-1,6,15,4,13,13;2,4,20,2,18,16;0,7,25,5,23,14;3,5,25,8,23,12;6,3,25,11,23,10;4,6,25,11,23,13;9,4,30,16,28,11;9,9,30,19,28,14;14,12,30,22,33,17;14,15,30,20,38,20;14,18,30,23,43,18;14,23,30,21,43,16;19,21,35,24,48,19;24,24,40,27,53,22;29,27,45,30,58,20;29,30,45,28,63,23;34,33,45,31,68,21;39,31,50,29,73,24	4,4,4,4,3,2,3,3	3,4,4,4,3,3,3,3	3,0,4;1,3,2;3,5,4;0,3,5;4,5,3;3,5,1;5,4,3;3,4,5;1,3,2;3,5,4;5,3,4;3,4,5;3,5,4;4,3,5;5,4,3;3,5,4;3,5,4;5,3,4;5,3,4;4,5,3	0,0,0;1,1,0;1,1,1;1,0,1;1,0,1;1,0,0;0,0,1;0,0,1;0,1,1;1,1,0;1,1,1;0,1,1;1,0,1;0,0,0;0,0,0;0,0,0;0,1,0;0,1,0;1,0,0;0,0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0	-2,-4,-1,2,5,8,6,4,7,10,13,16,19,17,20,23,26,29,32,35	55,14,10,15,12,21,17,7,10,9,9,7,6,6,7,8,6,7,6,7	29,15
